,TIME,STOCK,LTP,OQ1,OQ2,OQ3,OQ4,OQ5,OP1,OP2,OP3,OP4,OP5,BP1,BP2,BP3,BP4,BP5,BQ1,BQ2,BQ3,BQ4,BQ5
0,2018-06-13 17:39:41,CIPLA,581.95,989,0,0,0,0,582.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2018-06-13 17:39:42,INFY,1275.0,6,0,0,0,0,1274.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2018-06-13 17:39:43,INFY,1275.0,6,0,0,0,0,1274.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2018-06-13 17:39:44,INFY,1275.0,6,0,0,0,0,1274.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2018-06-13 17:39:46,INFY,1275.0,6,0,0,0,0,1274.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2018-06-13 17:39:47,INFY,1275.0,6,0,0,0,0,1274.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2018-06-13 17:39:48,INFY,1275.0,6,0,0,0,0,1274.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2018-06-13 17:39:49,INFY,1275.0,6,0,0,0,0,1274.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2018-06-13 17:39:51,INFY,1275.0,6,0,0,0,0,1274.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2018-06-13 17:39:52,INFY,1275.0,6,0,0,0,0,1274.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2018-06-13 17:39:53,INFY,1275.0,6,0,0,0,0,1274.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
