Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
RCOM,EQ,01-Jan-18,36.15,37.25,37.45,33.6,35.1,35.35,35.68,352686945,12584115702,329462,30726809,8.71
RCOM,EQ,02-Jan-18,35.35,35.25,35.45,31.15,32.3,32.4,33.17,285012342,9454117648,248814,31619769,11.09
RCOM,EQ,03-Jan-18,32.4,32,32.15,30.1,30.55,30.55,30.84,233379852,7196605255,190505,26191379,11.22
RCOM,EQ,04-Jan-18,30.55,30.5,34.9,28.15,33.9,33.3,31.05,413019383,12823022085,331332,36379168,8.81
RCOM,EQ,05-Jan-18,33.3,34.6,36.15,33.35,33.95,34,34.87,423033249,14751175426,349227,38681515,9.14
RCOM,EQ,08-Jan-18,34,34.35,34.8,33.05,33.85,33.9,34.01,145445206,4946364790,118750,14418081,9.91
RCOM,EQ,09-Jan-18,33.9,33.9,33.9,32.35,32.45,32.7,32.95,103648196,3415226568,96232,11644451,11.23
RCOM,EQ,10-Jan-18,32.7,33.3,34.1,32.7,33.3,33.2,33.34,108120944,3605173560,96923,10432981,9.65
RCOM,EQ,11-Jan-18,33.2,32.9,33.6,32.25,32.7,32.8,32.82,79351931,2604703594,68810,7562120,9.53
RCOM,EQ,12-Jan-18,32.8,32.7,32.9,30.6,31.2,31.3,31.78,90176118,2865615048,79690,12126705,13.45
RCOM,EQ,15-Jan-18,31.3,31.4,32.1,30.7,31.6,31.55,31.57,68852507,2173847512,58249,8246168,11.98
RCOM,EQ,16-Jan-18,31.55,31.65,33.1,30.9,31.25,31.2,31.93,144438289,4612007976,116604,11963711,8.28
RCOM,EQ,17-Jan-18,31.2,31.5,32.95,30.3,32.85,32.35,31.58,111211776,3511663393,90535,16970626,15.26
RCOM,EQ,18-Jan-18,32.35,32.95,33.2,27.6,29,29.35,30.99,126454099,3918421292,116288,23827663,18.84
RCOM,EQ,19-Jan-18,29.35,28.8,29.95,27.75,29.15,29.45,28.82,120503938,3472387568,108947,10972143,9.11
RCOM,EQ,22-Jan-18,29.45,29,29.35,28.3,28.4,28.65,28.82,55758132,1606780973,59198,6492323,11.64
RCOM,EQ,23-Jan-18,28.65,28.4,31.3,28.35,29.15,29.25,29.8,146096411,4353195920,110382,10873336,7.44
RCOM,EQ,24-Jan-18,29.25,28.7,29.55,28.6,28.75,28.75,28.92,57890888,1674398359,49765,4969518,8.58
RCOM,EQ,25-Jan-18,28.75,28.9,29.2,28,28.35,28.35,28.51,62098714,1770588406,48312,8007050,12.89
RCOM,EQ,29-Jan-18,28.35,28.75,28.85,26.5,27.2,27.2,27.75,108933206,3022866829,96858,9049960,8.31
RCOM,EQ,30-Jan-18,27.2,28,32.4,27.4,30.2,30.05,30.54,304197740,9290635610,270002,29995113,9.86
RCOM,EQ,31-Jan-18,30.05,30.05,31.05,28.9,29.45,29.45,29.82,117149717,3493788447,104362,9514895,8.12
RCOM,EQ,01-Feb-18,29.45,29.45,29.9,28.4,28.65,28.6,29.01,61128408,1773114779,62722,6579552,10.76
RCOM,EQ,02-Feb-18,28.6,28,28.25,24.5,26.2,26.1,26.59,98805318,2626758806,98173,11386603,11.52
RCOM,EQ,05-Feb-18,26.1,24.75,26.75,22.95,26.35,26.25,25.56,93472759,2389178872,86780,8023354,8.58
RCOM,EQ,06-Feb-18,26.25,24.4,25.4,23.7,24.45,24.55,24.61,69365330,1707262224,65962,9036574,13.03
RCOM,EQ,07-Feb-18,24.55,25,26.05,24.75,25.15,25.15,25.25,70231788,1773643765,57946,9121298,12.99
RCOM,EQ,08-Feb-18,25.15,25.5,27.25,25.2,26.8,26.55,26.42,110606868,2922254515,92380,9586838,8.67
RCOM,EQ,09-Feb-18,26.55,25.4,28,25.25,26.95,27,26.69,104526292,2789943844,83658,6756435,6.46
RCOM,EQ,12-Feb-18,27,27.1,27.95,26.8,27.15,27.1,27.39,72132568,1976043700,58381,5876386,8.15
RCOM,EQ,14-Feb-18,27.1,27.55,30.2,27.5,29.3,29.6,29.18,175737302,5128456521,143521,14660899,8.34
RCOM,EQ,15-Feb-18,29.6,29.45,30.55,27.55,27.9,27.95,29.04,110290749,3203043094,90376,13430564,12.18
RCOM,EQ,16-Feb-18,27.95,28.4,29,27.6,28.45,28.35,28.25,84858890,2397531464,77373,5048363,5.95
RCOM,EQ,19-Feb-18,28.35,28.95,29,27.75,28.4,28.45,28.4,65756683,1867589382,53211,5303570,8.07
RCOM,EQ,20-Feb-18,28.45,28.6,28.9,27.55,28,27.85,28.08,54181125,1521545190,45058,4907446,9.06
RCOM,EQ,21-Feb-18,27.85,28.05,28.4,27.55,28.1,28,27.98,53366023,1493087070,40342,4014624,7.52
RCOM,EQ,22-Feb-18,28,27.95,28.35,27.15,27.3,27.35,27.77,48059301,1334477768,38749,6508890,13.54
RCOM,EQ,23-Feb-18,27.35,27.5,27.95,27.4,27.55,27.6,27.64,33561141,927584503.7,28787,5999958,17.88
RCOM,EQ,26-Feb-18,27.6,27.85,30.95,27.6,29.65,29.75,29.58,146393665,4330214615,124226,19929895,13.61
RCOM,EQ,27-Feb-18,29.75,29.9,30.1,27.8,27.95,28,28.65,77599689,2222971087,62259,11565797,14.9
RCOM,EQ,28-Feb-18,28,27.85,28.9,26.5,28.3,28.35,28.05,82662554,2319080100,72547,11093293,13.42
RCOM,EQ,01-Mar-18,28.35,28.05,29.4,27.7,27.95,27.9,28.27,81087484,2292523809,61053,5946713,7.33
RCOM,EQ,05-Mar-18,27.9,28.15,28.55,27.1,27.6,27.75,27.85,67491872,1879518925,48726,6791746,10.06
