,TIME,STOCK,LTP,OQ1,OQ2,OQ3,OQ4,OQ5,OP1,OP2,OP3,OP4,OP5,BP1,BP2,BP3,BP4,BP5,BQ1,BQ2,BQ3,BQ4,BQ5
0,2018-06-13 17:47:13,RCOM,16.1,0,0,0,0,0,0,0,0,0,0,16.0,0,0,0,0,111838,0,0,0,0
0,2018-06-13 17:47:13,RCOM,16.1,0,0,0,0,0,0,0,0,0,0,16.0,0,0,0,0,111838,0,0,0,0
0,2018-06-13 17:47:14,RCOM,16.1,0,0,0,0,0,0,0,0,0,0,16.0,0,0,0,0,111838,0,0,0,0
0,2018-06-13 17:47:16,RCOM,16.1,0,0,0,0,0,0,0,0,0,0,16.0,0,0,0,0,111838,0,0,0,0
0,2018-06-13 17:47:17,RCOM,16.1,0,0,0,0,0,0,0,0,0,0,16.0,0,0,0,0,111838,0,0,0,0
0,2018-06-13 17:47:18,RCOM,16.1,0,0,0,0,0,0,0,0,0,0,16.0,0,0,0,0,111838,0,0,0,0
0,2018-06-13 17:47:23,RCOM,16.1,0,0,0,0,0,0,0,0,0,0,16.0,0,0,0,0,111838,0,0,0,0
0,2018-06-13 17:47:24,RCOM,16.1,0,0,0,0,0,0,0,0,0,0,16.0,0,0,0,0,111838,0,0,0,0
0,2018-06-13 17:47:25,RCOM,16.1,0,0,0,0,0,0,0,0,0,0,16.0,0,0,0,0,111838,0,0,0,0
0,2018-06-13 17:47:27,RCOM,16.1,0,0,0,0,0,0,0,0,0,0,16.0,0,0,0,0,111838,0,0,0,0
0,2018-06-13 17:47:28,RCOM,16.1,0,0,0,0,0,0,0,0,0,0,16.0,0,0,0,0,111838,0,0,0,0
0,2018-06-13 17:47:29,RCOM,16.1,0,0,0,0,0,0,0,0,0,0,16.0,0,0,0,0,111838,0,0,0,0
0,2018-06-13 17:47:30,RCOM,16.1,0,0,0,0,0,0,0,0,0,0,16.0,0,0,0,0,111838,0,0,0,0
0,2018-06-13 17:47:32,RCOM,16.1,0,0,0,0,0,0,0,0,0,0,16.0,0,0,0,0,111838,0,0,0,0
0,2018-06-13 17:47:33,RCOM,16.1,0,0,0,0,0,0,0,0,0,0,16.0,0,0,0,0,111838,0,0,0,0
0,2018-06-13 17:47:34,RCOM,16.1,0,0,0,0,0,0,0,0,0,0,16.0,0,0,0,0,111838,0,0,0,0
